College Code,College Name,Branch Code,Branch Name,Mock Cutoff,Mock Allotment Category,Round 1 Cutoff,Round 1 Allotment Category,Round 2 Cutoff,Round 2 Allotment Category,Round 3 Cutoff,Round 3 Allotment Category,Best Representative Cutoff,Best Representative Category,Chance Category
E057,"JSS Science and Technology University JSS TECHNICAL INSTITUTIONS CAMPUS, MANASAGANGOTHRI, MYSURU 570006",AM,AM,6284,GMR,6452,GMR,9001,GMR,9001,GMR,9001,GMR,Dream
E007,"Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",AM,AM,5757,GMR,5757,GMR,8334,GMR,9090,3AG,9090,3AG,Dream
E048,"B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",EC,EC,7972,3AR,7681,3AR,8381,3AR,9104,3AR,9104,3AR,Dream
E007,"Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",DS,DATA SCIENCES,6700,GMR,6908,GMR,8340,GMR,9135,3AG,9135,3AG,Dream
E005,"R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",ET,ET,5815,GMR,8055,GMR,9340,GMR,9340,GMR,9340,GMR,Dream
E009,"PES University 100 Feet Ring Road, Banashankari, 3rd Stage, Hosakerehalli, Near DSERT, , Bangalore KARNATAKA, pin code -560085",EC,EC,6672,3AR,6438,3AR,7493,3AR,9583,3AR,9583,3AR,Dream
E057,"JSS Science and Technology University JSS TECHNICAL INSTITUTIONS CAMPUS, MANASAGANGOTHRI, MYSURU 570006",EC,EC,9599,GMR,9599,GMR,9599,GMR,9599,GMR,9599,GMR,Dream
E008,"Bangalore Institute of Technology, K.R.Road, Bangalore (AUTONOMOUS) K.R.ROAD, V.V.PURA, BANGALORE-560004",CS,COMPUTER SCIENCE,7330,3AR,7336,3AR,9343,3AR,9744,3AR,9744,3AR,Dream
E048,"B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",CBS,CBS,5620,GMR,5620,GMR,7754,GMR,9964,GMR,9964,GMR,Dream
E016,"Siddaganga Institute of Technology,Tumkur",AM,AM,10308,GMR,9583,GMR,10338,3AG,10338,3AG,10338,3AG,Dream
E007,"Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",CY,CY,7090,GMR,7326,GMR,8737,GMR,10790,GMR,10790,GMR,Dream
E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",EC,EC,10446,3AR,10000,3AR,11227,3AR,11227,3AR,11227,3AR,Moderate
E141,"PES UNIVERSITY(Electronic City Campus) Hosur Rd, Konappana Agrahara, Electronic City, Bengaluru, Karnataka 560100",CS,COMPUTER SCIENCE,9723,3AR,8491,3AR,9697,3AR,11359,3AR,11359,3AR,Moderate
E005,"R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",AE,AGRICULTURE ENGINEERING,5306,GMR,5671,GMR,8438,GMR,11397,GMR,11397,GMR,Moderate
E006,"M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",ET,ET,11242,GMR,11242,GMR,11242,GMR,11884,3AG,11884,3AG,Moderate
E006,"M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",AE,AGRICULTURE ENGINEERING,7061,GMR,8821,GMR,11969,GMR,11969,GMR,11969,GMR,Moderate
E007,"Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",IS,INFORMATION SCIENCE,7824,3AR,7689,3AR,9244,3AR,12078,3AR,12078,3AR,Moderate
E008,"Bangalore Institute of Technology, K.R.Road, Bangalore (AUTONOMOUS) K.R.ROAD, V.V.PURA, BANGALORE-560004",AM,AM,8921,GMR,8919,GMR,9981,GMR,12095,GMR,12095,GMR,Moderate
E008,"Bangalore Institute of Technology, K.R.Road, Bangalore (AUTONOMOUS) K.R.ROAD, V.V.PURA, BANGALORE-560004",DS,DATA SCIENCES,8596,3AR,9343,3AR,10308,3AR,12537,3AR,12537,3AR,Moderate
E009,"PES University 100 Feet Ring Road, Banashankari, 3rd Stage, Hosakerehalli, Near DSERT, , Bangalore KARNATAKA, pin code -560085",EE,EE,10413,GMR,9464,GMR,9464,GMR,12711,3AG,12711,3AG,Moderate
E005,"R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",CH,CH,12727,3AR,12727,3AR,12727,3AR,12727,3AR,12727,3AR,Moderate
E016,"Siddaganga Institute of Technology,Tumkur",CS,COMPUTER SCIENCE,9619,3AR,9408,3AR,10891,3AR,12800,3AR,12800,3AR,Moderate
E057,"JSS Science and Technology University JSS TECHNICAL INSTITUTIONS CAMPUS, MANASAGANGOTHRI, MYSURU 570006",IS,INFORMATION SCIENCE,8443,GMR,8142,GMR,8916,GMR,13194,GMR,13194,GMR,Moderate
E007,"Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",IOTCS,IOTCS,9528,3AR,8334,3AR,13424,3AR,13424,3AR,13424,3AR,Moderate
E007,"Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",CD,COMMUNICATION DESIGN,11500,GMR,10535,GMR,12941,GMR,13674,GMR,13674,GMR,Moderate
